Property Size (sqft),Number of Bedrooms,Number of Bathrooms,Construction Year,Furnished,Median Household Income,Unemployment Rate,Population Density,Nearby School Quality Score,Distance to City Center (km),Distance to Nearest Park (km),Air Quality Index,Public Transport Access,Regional Price Growth (%),Historical Price Volatility,Selling Price (in $)
2562,4,3,2007,Partially,71.7,7.16,9323,Average,41.79,2.12,,Medium,3.29,8.24,497407.96001824684
4384,1,1,1967,Partially,76.17,7.76,9496,Good,24.14,9.25,144.0,High,12.56,2.14,778836.8603908018
564,4,1,2008,Partially,108.61,6.8,5515,Excellent,25.68,0.3,137.0,Medium,14.14,7.94,494703.2276030135
3068,2,1,1997,Partially,81.3,3.29,7397,Good,12.23,5.6,124.0,Medium,13.59,3.65,702198.6272291996
2527,4,2,2012,None,66.04,2.49,3534,Good,32.77,3.79,155.0,High,0.48,1.64,606748.7324988712
3195,5,3,1961,Partially,60.38,8.54,4980,Excellent,44.5,4.66,,High,0.13,8.13,728759.8777097298
1995,5,1,1983,Partially,78.14,3.73,3912,Average,17.15,5.41,186.0,High,9.79,2.31,576605.9260318318
891,2,2,2010,Fully,91.0,6.34,5488,Average,31.34,5.39,110.0,High,13.81,2.92,437984.66053827485
4974,3,1,2002,Partially,90.81,5.88,7630,Good,17.27,2.12,146.0,High,-2.33,7.36,2723084.3471123734
4061,5,2,1974,Partially,61.92,9.37,4369,Average,39.84,6.83,55.0,High,2.55,6.08,773937.8082911234
2778,1,1,2011,None,76.55,6.42,6599,Excellent,24.27,0.29,94.0,Medium,11.73,9.28,622173.928960937
3599,2,1,1953,Partially,68.24,6.64,1291,Average,17.63,0.31,114.0,High,4.84,9.59,692670.0650783328
700,4,2,1962,Partially,72.78,4.56,4341,Poor,21.58,4.84,86.0,Medium,11.85,3.83,460971.4799831591
3604,4,2,1991,Partially,88.58,9.67,3856,Good,5.47,5.46,139.0,High,-2.66,3.92,735192.6291389429
2954,1,3,1998,Partially,74.25,6.9,8022,Good,43.44,2.82,194.0,High,10.54,2.89,605093.4085423909
4145,5,3,2005,Partially,84.79,2.04,5425,Good,47.95,5.56,151.0,Low,2.79,5.66,932937.1502314531
1304,2,2,1996,Partially,85.24,6.45,5574,Good,24.39,5.21,159.0,Low,8.86,4.4,1131198.553101142
3231,1,3,1957,Partially,65.84,4.91,7200,Excellent,11.85,3.56,99.0,Medium,0.86,1.13,689569.4996152144
3273,5,2,2004,Partially,,2.26,2594,Average,33.57,6.55,172.0,Medium,8.84,4.55,1945370.2039061561
2070,2,3,1967,Fully,58.57,5.45,6750,Excellent,23.17,9.58,120.0,High,9.04,1.56,594686.5549608815
3190,4,1,1984,None,56.05,8.19,9307,Good,13.36,4.96,160.0,Low,3.39,8.19,728134.8621669958
4340,2,3,1981,None,67.84,6.03,5752,Average,2.88,7.88,80.0,High,14.38,9.36,825256.0307603268
1528,3,1,1973,Partially,60.37,7.12,7503,Average,44.6,2.55,164.0,High,-4.99,3.66,365137.0036803885
1002,2,1,1956,Partially,84.08,7.12,4796,,40.04,7.64,97.0,Medium,8.48,6.86,392242.5914484898
4993,3,3,1962,None,113.45,7.37,2801,Average,41.62,6.52,194.0,High,13.17,1.8,1068993.6120746005
1370,2,2,2018,Fully,91.92,5.1,5769,Poor,22.55,6.43,106.0,Medium,12.15,4.27,556003.346922201
4988,3,1,1991,None,62.75,4.96,1004,Excellent,37.91,8.94,196.0,High,6.29,6.18,694767.314212102
706,4,1,1980,Fully,60.03,2.04,2445,Good,29.48,2.41,64.0,High,12.92,1.94,389335.8506929899
1984,5,3,1975,Partially,89.66,3.23,2361,Average,19.36,3.75,103.0,Medium,-2.84,4.39,654743.0159712725
1363,3,2,1981,None,57.24,9.61,4222,Average,42.29,0.92,85.0,Medium,5.87,9.6,377233.2190640614
3290,3,2,2001,Partially,60.23,8.74,4183,Good,49.94,7.29,102.0,High,14.63,2.49,519540.8211383104
1063,4,3,1969,Partially,80.54,4.2,903,Excellent,45.06,8.45,123.0,High,14.83,6.58,459435.67947371496
4691,3,2,1989,None,66.87,5.21,4831,Average,39.03,4.12,93.0,High,8.58,8.5,761467.5218832508
2257,1,3,2008,None,76.79,9.52,3406,Poor,37.63,3.63,82.0,Low,-1.65,7.94,527322.0812470462
2178,4,3,1963,Partially,70.04,4.0,5228,Average,32.86,6.62,104.0,Medium,-2.74,7.94,565089.771060383
3742,1,3,1993,Partially,74.58,6.26,8209,Poor,42.83,0.85,,Medium,13.45,1.53,711920.216407601
1559,4,1,1997,Partially,88.12,2.18,2069,Average,25.16,3.01,100.0,High,12.61,9.76,519291.47847628826
2222,3,1,1992,None,84.32,6.96,639,Poor,9.9,3.73,148.0,Medium,1.31,7.54,555507.3638492831
3814,1,1,1965,None,88.76,9.44,5183,Average,38.63,5.23,135.0,High,13.63,9.59,731168.9676223741
3657,3,3,1984,None,84.59,9.08,7230,Poor,46.06,4.82,100.0,Medium,-2.39,9.81,681510.5241500471
3125,4,1,2002,None,85.63,6.02,5562,Excellent,17.73,2.17,184.0,Medium,0.89,4.21,691921.9383928704
3229,3,1,1983,Fully,74.97,7.2,5165,Average,39.37,5.45,178.0,Low,7.88,5.89,661539.363179747
2097,1,1,1952,None,53.18,6.56,2672,Excellent,14.41,9.27,190.0,Low,-1.59,7.57,529816.4245619965
3560,1,3,2017,None,73.39,2.54,6579,Excellent,47.19,0.37,97.0,High,14.78,8.64,636419.9737483413
3193,3,3,1954,None,79.74,3.27,3920,Good,34.49,6.84,176.0,Low,-0.55,9.74,644361.6682462269
4127,2,3,1959,Fully,76.11,9.71,6777,Good,28.89,6.28,163.0,High,-0.09,9.77,754265.5109027812
1863,4,1,2001,None,81.3,4.05,1749,Excellent,39.21,9.25,133.0,High,4.49,3.95,529752.8997805865
2481,4,2,1978,Fully,105.91,5.08,6564,Poor,40.85,6.49,96.0,High,10.57,7.12,797175.6461661656
2163,3,1,1980,Fully,67.48,6.07,3197,Average,44.73,6.29,59.0,Medium,-2.59,2.32,510578.26535685017
2029,2,1,2015,Partially,68.93,9.83,3253,Poor,45.15,7.72,75.0,Medium,8.35,8.29,443137.4337458489
2538,1,3,2018,Partially,93.13,7.52,5434,Poor,3.58,2.75,99.0,High,-3.01,2.44,694665.9613274441
3802,5,3,1986,Partially,76.87,7.04,6965,Good,7.02,6.0,178.0,High,-3.11,9.02,813010.425613693
2737,5,1,1976,None,81.82,6.2,4384,Good,41.48,5.24,158.0,High,-4.17,9.81,578082.5660154427
1806,3,1,1982,Partially,66.12,7.61,7754,Excellent,47.36,4.44,112.0,Low,5.89,1.78,524781.9523523746
4529,2,2,2017,Fully,64.01,7.31,594,Good,16.08,0.89,,Medium,3.72,5.61,754155.3873392061
3175,2,2,2008,Fully,56.89,9.22,4791,Average,1.42,3.0,194.0,High,1.15,3.38,666011.2013656896
1782,4,3,2013,None,77.59,6.33,6280,Good,16.81,2.87,92.0,Low,5.54,5.23,578750.6681327971
1209,1,2,1993,Fully,60.32,5.37,5583,Good,19.76,7.27,90.0,High,5.04,3.64,431086.0308650809
4913,2,2,1998,Fully,58.48,8.46,8704,Excellent,38.29,9.21,64.0,Medium,4.48,1.59,2076127.2589503808
4248,5,3,2002,Partially,84.92,8.4,2801,Good,3.33,2.38,178.0,Medium,-1.55,4.55,887338.5441047337
1163,1,2,1998,Partially,65.48,3.36,4583,Excellent,11.42,0.84,107.0,High,12.94,2.84,430510.92122500925
2498,1,1,2015,None,57.0,3.89,6619,Average,44.8,10.0,103.0,High,7.4,5.94,465498.3218988819
3945,3,2,2012,None,55.45,9.67,6724,Excellent,8.59,6.94,182.0,Medium,-2.45,7.13,741719.7049542796
4243,2,3,1974,None,88.68,5.55,872,Good,38.2,8.88,111.0,Low,0.11,4.65,788929.5172063753
1995,3,1,1953,Partially,73.4,6.16,4989,Excellent,18.7,1.52,176.0,Medium,10.29,2.83,653724.2658590138
3804,2,2,2000,Partially,69.01,4.48,6351,,33.47,8.03,120.0,Medium,10.53,2.73,679729.8388465655
4263,4,1,1960,Partially,77.57,5.85,6528,Good,4.62,8.15,95.0,Low,9.51,1.02,842060.5899080728
2353,3,1,1966,Partially,76.14,7.95,9109,Excellent,15.04,1.6,139.0,Medium,10.81,7.32,1201332.966506581
1791,3,2,2015,Fully,67.06,5.86,1316,Good,21.81,1.7,171.0,High,6.96,3.28,463448.85430238757
4081,5,2,2019,Partially,69.99,4.52,4112,Poor,43.0,3.02,133.0,Low,0.78,9.74,803468.3254115107
3957,3,3,2022,Fully,85.96,2.77,8247,,28.61,2.25,131.0,Medium,2.15,7.72,775581.0663942846
2136,2,3,2018,None,87.37,9.43,6850,Good,3.22,9.76,82.0,High,5.19,3.66,666186.8730884728
4196,5,1,1978,None,62.43,8.97,7939,Average,40.29,3.69,138.0,Medium,-0.08,2.43,693805.2628681858
3499,3,3,2022,Fully,94.2,8.33,1832,Excellent,3.67,7.64,163.0,Medium,12.07,6.62,835592.5258388006
3652,3,1,2021,Fully,105.14,7.55,6861,Excellent,46.78,8.07,99.0,High,9.94,8.78,836472.3107287814
1198,4,1,1969,None,70.63,6.12,1255,Good,11.37,3.92,68.0,High,14.6,6.26,426331.9426891912
2660,3,3,1976,Partially,70.27,9.18,4025,Good,24.91,6.86,52.0,Medium,3.31,1.1,665826.1894738801
4597,1,3,1957,None,61.53,8.33,2296,Average,4.54,1.17,165.0,High,12.42,8.08,810640.4465573251
1354,5,3,2010,Partially,64.97,8.53,3559,Poor,28.52,4.03,140.0,Medium,10.58,9.68,504504.73619660316
3974,1,2,1977,None,79.85,4.48,2677,Excellent,25.36,9.68,194.0,High,11.64,1.43,685654.5549057614
2207,5,1,2019,None,109.75,5.39,2550,Good,21.1,1.77,92.0,Medium,8.76,8.28,738958.8638977045
3277,4,1,1952,Fully,85.93,7.65,2489,Good,2.74,3.92,157.0,Low,1.98,7.47,752952.9233266031
2233,3,1,2018,Fully,70.02,4.97,8018,Good,44.07,7.93,93.0,Medium,-0.12,4.58,472275.63231037004
4010,3,3,2022,Partially,68.63,5.95,9246,Poor,40.33,6.69,101.0,Medium,0.45,6.71,670208.0755882084
702,3,3,1956,None,65.04,7.17,6309,Average,32.02,6.35,146.0,High,6.34,2.43,367451.3698438435
3755,5,3,2009,Fully,90.9,5.5,6113,Average,29.04,8.55,77.0,Medium,12.59,7.48,787377.5702530805
4718,3,3,1953,Partially,71.35,8.34,8957,Good,35.05,0.39,,Low,3.98,6.23,786153.640977006
4996,1,3,1954,Partially,81.81,2.93,9614,Average,8.06,7.73,103.0,High,6.98,1.78,861510.6740534715
1266,3,2,1960,None,71.45,7.74,9225,Good,46.7,8.84,,High,9.68,8.81,344542.04651396687
4889,4,3,1964,None,106.77,3.16,6476,Poor,14.95,0.26,163.0,Medium,12.11,2.16,1031969.8385268045
2827,1,1,2013,Partially,66.99,9.5,2193,Excellent,33.17,5.63,66.0,Medium,7.97,4.94,473913.4290908707
3431,3,3,1962,Fully,64.45,4.51,2551,Good,30.73,3.55,195.0,Low,7.59,2.18,658979.0097270396
697,3,1,1956,Fully,67.77,8.36,3420,Excellent,32.19,0.6,77.0,Medium,14.75,6.82,317129.7861861385
2430,2,3,1955,Partially,81.36,6.17,5345,Good,44.07,4.24,77.0,Low,12.25,7.64,595131.8939778807
4082,5,3,2005,Partially,96.52,2.73,4667,Average,15.5,6.48,65.0,High,9.67,9.53,942169.7331173895
1108,1,1,2013,Partially,81.39,6.66,6731,Average,37.7,9.2,134.0,High,11.64,3.27,361247.853553495
3772,2,1,1999,None,85.6,9.3,5123,Average,30.32,6.24,54.0,Medium,15.0,4.3,1380050.8600200904
1647,4,1,1979,Partially,83.51,3.26,9577,Good,4.73,8.58,94.0,High,5.11,4.48,552907.8788883487
4782,5,1,1971,None,50.02,4.57,7246,Good,21.29,1.3,101.0,High,9.11,1.87,853179.1429577301
3897,1,2,1974,Fully,74.76,5.51,6639,Average,42.06,2.18,111.0,High,11.27,8.27,609246.4682068584
3011,3,1,1977,Fully,70.24,4.2,1958,Average,16.45,9.71,54.0,Medium,3.88,1.74,667754.4840209152
2294,1,3,1988,Partially,72.88,9.55,4295,Excellent,24.63,8.89,156.0,Low,14.1,4.05,495817.7743346755
1159,3,3,2016,Partially,62.66,5.02,3910,Average,24.94,2.43,60.0,High,2.64,2.71,348986.2514811653
3311,5,2,1954,Partially,88.02,7.26,4524,,31.28,6.25,135.0,Low,-0.14,6.98,785960.769674688
1869,3,1,2014,None,75.73,3.79,6769,Average,44.32,3.69,180.0,Medium,8.54,9.15,479776.6446833083
2486,4,3,1964,Partially,75.64,3.76,1062,Good,9.5,4.74,109.0,Low,-3.39,7.72,762250.2476850202
646,3,2,2016,Partially,72.79,3.41,6592,Average,25.73,8.62,115.0,Low,-2.47,7.97,354276.8422219626
3719,4,3,1989,None,65.56,5.48,7492,Good,21.79,7.38,66.0,Low,14.41,1.71,737855.752777838
3411,5,2,2018,Partially,48.27,6.26,7508,Average,15.5,2.46,180.0,High,0.63,7.65,1176147.6311961974
2234,5,2,1992,Fully,79.08,2.09,8296,Good,46.06,3.23,180.0,High,-4.34,1.56,580930.0654965552
2343,1,1,1950,Fully,76.7,8.66,6159,Poor,1.4,2.97,89.0,Medium,4.49,5.36,635707.3967770931
988,4,2,1971,None,83.01,6.1,6584,Average,6.98,7.83,129.0,High,12.35,7.23,855124.4597332848
3476,4,3,2011,None,76.08,3.26,3471,Good,36.93,4.95,125.0,Low,1.67,3.29,701392.270342364
2459,2,3,1975,Fully,58.81,2.54,844,Average,13.91,9.51,112.0,Low,3.39,7.14,574034.9748789573
2885,2,1,1967,Partially,63.08,2.51,7111,Good,36.44,8.19,100.0,Low,-1.86,8.92,631182.3058007525
3419,2,1,1997,None,95.09,4.06,7624,Good,41.78,2.19,178.0,High,1.92,8.9,1562536.281981333
2302,3,2,1958,None,79.78,5.99,6784,Good,13.48,7.88,100.0,High,14.31,2.73,683979.1187305534
4561,2,1,1950,Partially,87.05,8.88,3216,Excellent,10.41,5.11,53.0,High,12.54,3.47,901250.4035912359
3869,4,3,1958,None,88.78,9.22,6160,Poor,8.12,2.61,181.0,High,9.8,6.99,891586.9459315249
762,3,3,1972,Partially,,8.66,7732,Good,10.8,3.7,133.0,High,10.72,8.57,387210.66836921254
1123,5,1,1994,Fully,69.89,4.63,5393,Average,14.09,9.72,98.0,High,8.39,5.1,418640.2352173914
1516,1,1,1951,Fully,85.22,4.45,1619,Good,43.57,4.89,88.0,High,-2.64,9.3,498852.91829025286
4143,2,1,1963,Partially,62.77,9.9,2762,Average,38.73,7.22,194.0,High,-2.65,6.17,675024.8442945491
2549,5,2,1987,Partially,68.88,7.45,1242,Good,1.09,4.82,192.0,Low,5.74,3.36,669408.1431647884
4223,4,2,1989,None,67.21,4.44,5501,Good,43.83,3.78,154.0,Medium,6.91,1.18,714682.8564527271
3608,1,3,2012,Fully,,4.63,5803,Poor,4.86,7.98,65.0,Medium,14.44,8.27,617827.8367178648
4590,5,2,1965,Partially,73.05,5.48,7830,Good,33.11,8.5,183.0,Medium,4.02,1.84,882642.7237499566
2556,1,2,1955,Fully,67.71,6.97,1282,Average,8.42,0.81,141.0,High,13.35,1.71,512132.99242043693
3670,2,2,1952,None,,9.18,596,Excellent,4.05,2.86,74.0,Low,14.81,7.99,721473.9581860953
2182,4,2,1963,None,79.03,3.59,9278,Good,38.23,5.13,88.0,High,11.89,1.28,625385.499826104
2755,1,3,2015,Fully,89.97,2.68,7161,Average,23.89,3.23,194.0,Medium,2.98,8.58,584590.3229413147
1654,5,1,2016,Partially,86.47,5.25,5411,,30.35,7.86,95.0,High,10.07,6.39,562116.9141191016
4999,2,3,1980,Fully,77.65,3.96,2738,Good,21.84,1.24,165.0,Low,5.91,6.73,892510.5045289386
3691,2,2,1982,Partially,,6.61,9608,Poor,4.29,8.0,102.0,Low,-1.02,9.44,829873.0141778104
2196,5,1,1950,Fully,84.89,7.59,3849,Good,37.24,6.22,163.0,High,-2.41,8.8,500693.5191646834
4491,5,1,1993,Partially,87.07,4.49,2988,Good,41.2,2.96,100.0,Low,-3.6,1.68,869420.5687677031
2148,1,1,1964,None,72.55,7.48,4293,Good,3.03,3.51,195.0,Medium,1.53,8.68,592254.1917181566
1945,3,3,1986,Partially,69.2,4.75,8317,Average,19.41,1.91,69.0,Medium,8.78,7.0,551932.9100345876
4699,2,1,1976,Fully,80.64,7.08,3337,Good,28.31,2.6,136.0,High,13.28,3.85,937880.0320643784
4423,1,3,1997,Partially,88.59,7.06,2886,Good,30.65,7.2,182.0,High,1.41,8.68,768315.3909285761
753,5,3,1976,Partially,77.62,4.23,7896,Poor,29.33,3.82,111.0,Low,5.62,1.21,586263.3848820707
3683,1,2,1961,Partially,65.5,7.09,2341,Excellent,34.95,6.91,152.0,High,4.38,8.54,694561.5857745023
3057,5,2,2016,Fully,55.75,5.05,9894,Excellent,48.37,5.19,61.0,Low,-2.82,6.58,689174.303046382
598,4,1,1979,None,,4.69,5866,Excellent,20.14,1.54,130.0,High,10.21,3.35,416314.08265467884
2700,5,1,2015,Partially,75.64,4.31,8564,Good,28.27,5.04,,High,5.39,1.05,662255.5221924651
3461,5,2,1956,Fully,87.24,4.77,5269,Good,35.25,7.59,51.0,Medium,13.35,5.69,740741.9277443044
4933,5,3,1983,Fully,40.45,8.29,9421,Excellent,30.03,3.05,174.0,High,11.71,4.8,800092.8419048068
4277,3,3,1981,None,65.89,3.96,816,Good,19.95,6.52,166.0,Low,0.57,8.76,712805.891441803
3369,5,2,1988,Fully,63.44,7.46,7953,Good,31.58,2.07,180.0,High,1.25,8.09,720466.5482545026
3734,2,3,1992,None,80.69,9.2,575,Average,32.86,1.44,57.0,High,5.74,6.31,846223.4505065802
4291,2,2,1992,Partially,,4.8,5569,Poor,29.66,3.67,86.0,Medium,-2.5,2.36,763165.3159929996
1456,1,2,1952,Partially,56.54,2.24,703,Average,11.05,3.95,104.0,Medium,0.02,7.54,404378.2568816687
4567,3,1,1995,None,65.87,2.2,8395,Excellent,25.79,7.63,98.0,Low,11.42,6.34,875357.9817332125
660,1,1,1981,Fully,63.51,3.12,7067,Excellent,44.33,4.65,108.0,High,-1.94,1.2,322979.71745582967
4993,2,2,1992,Partially,75.19,2.88,7960,Average,43.56,0.9,109.0,Medium,5.92,7.86,871258.6845010767
1800,2,1,1952,Partially,71.78,7.98,4275,Average,37.79,6.38,138.0,Medium,2.88,8.49,482277.2319947759
4487,4,2,2012,None,81.64,4.36,8578,Excellent,35.16,4.75,127.0,High,-0.98,7.97,813051.0072595825
2027,5,3,1989,Partially,,7.22,7424,Good,8.51,3.38,168.0,Medium,14.4,2.59,654349.8962845185
1718,2,3,1967,Partially,90.22,2.34,8080,Average,23.51,8.04,149.0,Low,11.5,5.52,646685.0248227435
4996,1,3,2016,Fully,68.28,4.37,6058,Good,6.44,1.63,112.0,High,0.33,5.75,868109.9299209137
3604,1,3,2011,Partially,84.3,3.87,4855,Good,41.05,9.14,176.0,High,10.71,9.41,698111.5544444782
