Age,Gender,Income (in $1000s),Online Hours Per Week,Purchase Frequency (Last Month),Is Loyal Customer,Preferred Shopping Platform,Ad Clicks (Last Month),Discounts Used (Last Month),Competitor Pricing Index,Economic Conditions,Distance to Nearest Store (km),Shopping Frequency,"Purchase Decision (1=Yes, 0=No)"
38,Female,54.56,47,17,0,Mobile App,13,7,0.94,Neutral,38.26,8.996824780508108,1
26,Female,17.02,5,5,1,Mobile App,14,6,0.94,Unfavorable,12.26,23.072541128166552,1
56,Female,61.45,33,13,0,Website,11,4,1.17,Neutral,26.16,12.212497678402244,1
35,Female,32.79,15,10,0,Mobile App,2,8,1.19,Unfavorable,26.22,13.082970753047666,1
21,Male,21.66,36,16,1,Mobile App,4,6,1.16,Neutral,43.63,9.015915288734703,1
42,Male,16.63,35,8,0,Website,7,9,1.2,nan,1.77,23.077767140133876,1
31,Female,45.68,45,6,0,In-store,0,1,1.15,Neutral,16.18,11.811652865043815,1
67,Female,29.67,5,13,0,Mobile App,1,6,1.08,Favorable,44.18,3.2747432878685556,1
26,Female,3.47,7,16,0,Mobile App,12,6,0.92,Neutral,12.22,24.845932844696517,1
43,Male,42.83,23,7,0,In-store,6,3,1.18,Neutral,7.28,20.38108858832017,1
19,Male,40.19,2,15,1,Mobile App,12,7,1.15,Neutral,29.02,17.723334529070023,1
37,Female,47.0,3,11,1,Website,0,3,0.9,Favorable,15.64,23.220801932044306,1
45,Female,37.42,31,11,0,Mobile App,12,6,1.0,Neutral,23.63,14.713817365036384,1
64,Female,86.59,0,4,1,Mobile App,12,3,0.83,Favorable,41.09,7.103711310758111,1
24,Male,60.35,33,4,0,Mobile App,12,7,1.18,Favorable,26.27,9.321903972842478,1
61,Female,,44,13,0,In-store,13,2,1.03,Neutral,26.04,11.485327319451883,1
25,Male,48.73,8,5,0,Website,13,1,0.9,Neutral,14.27,12.407205916990364,1
64,Female,78.29,11,6,0,Website,10,9,0.92,Favorable,39.75,4.578412553948392,1
52,Male,69.13,9,16,1,Mobile App,13,5,1.19,Neutral,37.12,11.822641776990888,1
31,Male,22.08,9,8,0,Mobile App,4,6,1.05,Neutral,12.09,18.685606149500313,1
34,Female,30.51,49,12,0,Website,9,6,0.97,Favorable,16.34,19.845541527342373,1
53,Female,34.36,43,8,0,In-store,7,5,1.0,Neutral,39.54,2.1685843102223177,1
67,Male,,47,15,0,Website,14,7,0.84,Favorable,18.21,17.082337444859718,1
57,Female,38.09,22,3,1,Website,5,5,0.83,Neutral,20.48,15.95285523965651,1
21,Male,50.68,5,1,0,In-store,2,5,1.04,Favorable,18.54,9.455799024679576,1
19,Male,64.71,23,12,0,Website,6,2,1.0,Favorable,8.5,19.944017537296613,1
23,Male,68.05,23,12,0,In-store,2,1,0.94,Unfavorable,17.37,16.248497575361426,1
59,Male,43.46,20,18,0,Website,11,6,1.03,Unfavorable,40.25,7.333298720971385,1
21,Female,17.31,41,11,1,Website,4,5,0.83,Neutral,24.81,19.067559370393166,1
46,Male,29.19,30,3,0,Mobile App,6,0,1.18,Favorable,23.18,10.066482333363084,1
35,Male,39.6,46,9,1,In-store,1,1,0.92,nan,8.24,22.486769174066225,1
43,Female,25.1,40,15,0,Mobile App,9,1,0.83,Neutral,9.29,26.31122806332914,1
61,Male,72.82,29,18,0,Website,3,0,0.87,Favorable,2.63,27.088202713235113,1
51,Female,26.41,33,7,0,Mobile App,1,2,0.84,Unfavorable,1.19,22.76655961707783,1
27,Male,62.34,17,5,1,Website,6,4,0.87,Favorable,24.66,14.123292150166806,1
53,Female,16.36,11,3,0,In-store,2,3,0.97,Favorable,20.76,11.097936762071644,1
31,Male,63.14,34,6,0,Website,8,1,1.1,Neutral,14.13,14.121872278481185,1
48,Male,47.21,6,13,0,In-store,10,7,0.91,Neutral,49.51,1.0,1
65,Male,80.25,40,12,1,Mobile App,5,8,0.97,Favorable,20.2,20.23552250287558,1
32,Male,27.37,39,4,0,Mobile App,0,7,1.17,Unfavorable,39.55,5.093916847018187,1
25,Male,38.72,24,8,1,Mobile App,9,6,0.92,Neutral,10.92,24.666302530618683,1
31,Female,42.59,5,2,0,Website,7,9,1.12,Unfavorable,12.73,17.071473859113475,1
40,Female,46.95,0,9,0,In-store,12,1,0.86,Neutral,28.64,9.029824209308789,1
57,Female,43.08,45,14,0,Website,6,5,0.87,Neutral,0.7,25.017023383502913,1
38,Female,43.47,15,19,1,Website,0,3,0.98,Favorable,1.36,30.0,1
33,Male,43.14,47,16,0,Mobile App,2,4,0.89,Neutral,7.54,25.257509323391137,1
62,Male,8.58,3,5,1,In-store,2,8,1.16,Neutral,11.54,23.770359990670126,1
35,Male,69.87,28,2,0,Website,13,8,0.82,nan,26.63,7.132064699985713,1
64,Male,107.22,37,17,0,Mobile App,2,3,1.04,Favorable,34.47,8.456026064375239,1
41,Female,55.97,46,4,0,Mobile App,14,7,1.04,Neutral,15.94,15.978238752409622,1
43,Female,27.28,27,12,1,Website,6,4,0.83,nan,12.33,27.054752703866832,1
42,Male,29.31,21,0,1,Website,5,8,1.09,Favorable,41.23,5.407807821743167,1
62,Male,62.26,7,16,0,Mobile App,10,1,0.99,Favorable,8.56,26.577546328303686,1
58,Female,57.71,31,2,0,Website,11,3,1.09,Favorable,34.08,1.0,1
46,Female,44.31,32,18,0,Mobile App,1,2,1.13,Neutral,46.6,3.8531178167741054,1
32,Male,65.07,12,19,1,Mobile App,4,6,0.93,Favorable,11.99,28.54632843641569,1
62,Female,8.72,26,11,1,In-store,5,1,0.99,Favorable,4.8,25.98455636821118,1
18,Female,65.08,17,7,0,Website,11,2,0.9,Favorable,49.0,1.0,1
42,Male,54.76,17,7,0,Mobile App,1,8,0.88,Favorable,13.9,14.197739873769507,1
24,Male,30.08,12,14,0,Website,14,7,0.8,Neutral,14.15,22.614134369144125,1
26,Female,21.33,21,10,0,Mobile App,13,1,1.19,Favorable,24.45,11.07707562592095,1
41,Female,52.43,13,19,0,In-store,0,5,0.98,Favorable,11.94,26.329536077343786,1
18,Female,78.14,10,0,0,Website,3,2,0.81,Favorable,49.65,1.0,1
61,Male,45.44,38,15,1,Mobile App,13,5,0.8,Unfavorable,2.63,26.459730166568562,1
25,Male,32.95,49,13,0,Mobile App,14,4,0.92,Favorable,22.85,15.35734725230694,1
41,Female,53.83,21,6,0,Mobile App,11,9,0.81,Unfavorable,27.64,10.542167854367687,1
28,Female,86.42,35,5,0,Mobile App,3,3,0.95,Favorable,23.61,8.619294628771588,1
68,Male,58.63,16,3,0,Website,3,6,0.83,Neutral,26.27,11.53514758681944,1
34,Female,60.79,31,7,0,Mobile App,0,9,0.82,Favorable,49.39,1.5421907769050245,1
25,Female,74.46,13,18,0,Website,2,6,1.07,Favorable,43.91,6.691484128662677,1
52,Female,59.45,41,2,0,Mobile App,6,3,1.16,Neutral,15.77,13.751942622519076,1
52,Female,,28,3,0,Mobile App,3,2,0.96,Neutral,27.8,7.631127668828363,1
50,Female,15.11,5,12,0,In-store,1,3,1.13,Favorable,0.52,27.05130549357975,1
22,Male,31.57,49,1,0,Website,7,1,0.81,Favorable,20.77,11.817644156083844,1
59,Female,27.91,3,10,1,Mobile App,10,3,1.11,Favorable,8.61,22.382042386292042,1
56,Male,63.19,10,15,1,Mobile App,0,3,0.83,Unfavorable,35.71,17.99892855540873,1
58,Female,65.97,44,9,0,Website,12,4,1.14,Unfavorable,11.44,21.15418651087552,1
45,Male,53.51,39,14,0,Mobile App,8,0,1.15,Favorable,37.57,6.1227389199243545,1
24,Female,24.63,9,9,0,Website,4,1,1.11,Neutral,16.0,19.404185643801362,1
26,Male,85.73,27,1,0,Website,1,7,1.13,Favorable,46.33,1.1569042019175209,1
25,Male,41.68,10,5,0,Website,12,7,1.02,Neutral,22.55,7.795169443215703,1
29,Male,62.07,34,13,1,Website,13,7,0.91,Neutral,42.06,11.844706097941813,1
51,Male,50.99,14,1,0,In-store,3,4,1.06,Favorable,31.59,6.542790630294149,1
50,Female,54.17,7,9,1,Website,2,7,0.98,Favorable,48.88,5.78979448413426,1
65,Female,61.36,19,16,0,In-store,6,8,0.8,Unfavorable,37.26,11.710711882529958,1
40,Female,36.08,49,7,0,Website,5,3,0.99,Unfavorable,36.52,5.63900203310198,1
41,Male,76.11,20,15,0,Mobile App,10,3,1.06,Neutral,13.61,21.68444197443571,1
54,Male,,0,13,1,Mobile App,11,6,0.81,Favorable,25.49,14.95480405500998,1
52,Male,29.23,28,9,0,In-store,10,4,1.05,Favorable,14.86,15.756369016996603,1
61,Male,,23,12,0,Mobile App,8,9,1.06,Neutral,1.46,27.80075610137177,1
57,Female,61.8,29,0,0,In-store,3,0,0.86,Unfavorable,35.67,1.0,1
39,Male,100.81,39,9,1,Mobile App,11,7,0.97,Unfavorable,12.17,23.301943112639222,1
44,Male,51.37,34,11,0,Website,2,3,1.19,Favorable,20.17,13.156524674118291,1
52,Male,84.01,32,16,0,In-store,6,7,1.15,Neutral,14.59,19.376846570964407,1
18,Male,12.85,19,13,0,In-store,5,1,0.96,Neutral,10.38,21.986743159488572,1
52,Female,21.73,15,4,1,Website,4,3,0.94,Favorable,3.82,24.812518171233148,1
54,Female,67.91,8,18,1,In-store,14,1,0.85,Favorable,17.23,21.748598343304582,1
64,Male,15.19,30,4,0,Mobile App,14,4,0.81,Favorable,4.55,18.213189150373765,1
31,Male,46.05,16,14,0,In-store,9,9,0.92,Neutral,27.25,16.161760850106408,1
20,Male,73.34,30,12,0,In-store,6,9,1.18,Unfavorable,1.47,27.404394056450034,1
18,Male,60.02,47,16,0,In-store,4,7,1.18,Unfavorable,47.03,4.548989021393093,1
22,Male,50.22,22,0,1,In-store,8,6,1.13,Neutral,48.34,1.5021101519828988,1
43,Female,41.02,5,13,1,Website,11,4,0.94,Favorable,15.58,22.417054319752683,1
31,Female,54.04,29,3,1,Website,3,6,0.86,Neutral,13.38,22.581257484041608,1
56,Female,61.54,6,8,0,Website,0,4,1.04,Unfavorable,5.67,20.63966669116612,1
44,Male,36.78,47,16,0,Website,9,6,1.06,Neutral,45.29,2.8919690560782794,1
26,Male,57.43,39,2,1,Website,11,3,0.97,Favorable,29.55,7.821212331499523,1
32,Female,71.57,41,12,1,Mobile App,4,3,1.08,Unfavorable,30.7,12.16742084968245,1
32,Female,45.55,45,11,0,Website,0,9,1.1,Unfavorable,44.84,1.4945496817665838,1
43,Female,51.36,10,15,0,Mobile App,11,3,1.11,Unfavorable,45.58,8.004041244061698,1
59,Male,59.68,33,3,0,In-store,12,7,1.0,Unfavorable,41.5,6.0970195333280515,1
30,Female,61.03,11,17,0,Mobile App,0,0,1.12,Favorable,38.79,11.242328035739169,0
68,Male,67.57,44,2,0,Mobile App,0,9,0.81,Unfavorable,43.92,1.0,1
49,Female,29.71,46,16,1,Website,0,4,1.07,Neutral,43.86,8.839900851943163,1
56,Female,39.42,26,0,1,Website,7,9,0.89,Favorable,18.75,13.405645747900442,1
66,Female,40.16,11,18,1,Mobile App,1,1,0.91,Neutral,48.68,9.087663846467713,1
69,Male,31.92,12,3,1,Mobile App,8,9,0.84,Favorable,35.6,7.017788232984266,1
49,Female,14.03,7,16,0,Mobile App,6,3,0.88,Favorable,18.83,19.830773012969168,1
21,Male,-15.09,15,6,0,Mobile App,13,4,1.2,Unfavorable,22.38,11.239056845897235,1
47,Male,73.91,28,1,1,Website,10,7,0.97,Favorable,34.51,9.994580184793879,1
54,Male,18.92,34,11,0,Website,2,1,1.17,Unfavorable,18.37,17.50558152421274,1
40,Female,81.33,28,4,0,Mobile App,8,1,0.87,Favorable,41.41,3.9164419395075574,1
56,Male,64.79,30,15,0,Website,3,1,0.88,Favorable,7.83,22.125207451841252,1
62,Male,41.89,12,7,0,Mobile App,6,7,1.02,Favorable,45.43,2.691864039612696,1
32,Female,62.33,11,7,0,In-store,14,2,0.94,Neutral,15.41,14.287649265910144,1
60,Male,58.5,1,12,1,Website,2,4,1.06,Favorable,8.06,26.860180917552455,1
46,Female,27.96,32,13,0,Mobile App,4,1,0.97,Unfavorable,42.97,3.345279677729331,1
53,Male,49.7,7,10,0,Mobile App,12,5,1.12,Neutral,12.35,19.533462873394793,1
30,Male,30.4,40,5,0,Mobile App,3,9,0.97,Neutral,42.25,4.02501683008189,1
49,Female,63.08,39,15,0,Website,12,5,1.03,Favorable,15.17,22.255727980339305,1
24,Male,35.7,48,14,0,In-store,5,1,0.93,Favorable,46.73,4.354006782308372,1
68,Male,48.07,40,15,0,Website,11,3,1.08,Unfavorable,11.34,21.54895834664155,1
39,Female,47.2,31,12,0,Mobile App,12,1,1.06,Favorable,3.95,23.98922721205893,1
45,Female,52.43,37,11,0,Mobile App,8,9,0.96,Favorable,46.86,5.125178391907323,1
19,Female,83.25,27,17,0,Website,14,3,0.91,Favorable,8.7,22.46680406959235,1
59,Male,45.18,14,17,0,Website,4,6,1.05,Unfavorable,47.23,5.817301434796704,1
62,Male,74.36,22,13,0,Website,14,4,1.18,Favorable,41.29,8.104410749731908,1
23,Female,59.6,23,1,1,Mobile App,0,9,0.85,Favorable,4.56,23.201938720412592,1
45,Female,78.37,12,1,0,Website,12,3,1.12,nan,22.53,11.0884157913768,1
45,Female,43.23,20,2,0,In-store,4,9,1.02,Unfavorable,4.13,23.369517810306174,1
61,Female,63.92,11,7,1,Website,4,9,1.01,Favorable,16.82,19.905147698175746,1
61,Female,48.81,12,10,0,In-store,8,2,1.18,Favorable,17.9,15.540598651766043,1
37,Male,-9.79,38,11,0,In-store,7,5,1.04,Favorable,30.18,10.85205864856271,1
47,Male,,22,3,0,Mobile App,4,1,1.13,Favorable,48.81,1.0,1
28,Female,61.65,49,8,1,Mobile App,4,3,1.01,Favorable,8.9,27.21616545175673,1
45,Male,60.33,45,16,0,Website,14,7,0.9,Favorable,16.79,22.121053473522373,1
42,Male,24.1,42,15,1,In-store,13,1,1.08,Neutral,29.56,18.378844372671267,1
56,Female,54.41,27,16,0,Mobile App,1,8,1.17,Favorable,8.99,19.570156661302516,1
50,Female,60.07,13,14,0,In-store,8,1,1.14,Favorable,35.68,6.260972794248975,1
18,Male,49.31,16,19,0,Mobile App,13,7,0.88,Unfavorable,20.48,21.199398720089444,1
44,Male,64.58,23,6,0,In-store,10,7,0.93,Favorable,47.5,1.0,1
69,Male,61.85,33,9,1,Mobile App,14,6,1.01,Favorable,31.68,15.74627642561425,1
30,Female,49.3,47,3,0,In-store,3,9,1.03,Favorable,18.47,13.914536620256929,1
58,Female,39.78,21,13,0,Website,6,5,0.88,Neutral,36.11,8.074755694615154,1
20,Male,70.85,9,13,1,Mobile App,9,0,0.89,Neutral,42.02,8.840064215841567,1
56,Male,59.26,7,13,0,Mobile App,5,1,1.1,Unfavorable,40.12,6.101167510791501,1
23,Female,22.37,20,13,0,Mobile App,13,6,1.09,Neutral,13.51,20.150218152518192,1
25,Male,54.42,36,19,0,Mobile App,4,3,1.14,Unfavorable,21.14,16.16390642391405,1
44,Female,26.98,6,17,1,Mobile App,10,8,1.17,Neutral,22.88,23.917182522999695,1
26,Female,30.71,25,14,0,Website,10,2,0.92,Favorable,19.72,18.543127575439154,1
54,Male,36.96,12,18,0,Mobile App,4,3,1.14,Favorable,15.89,21.429184575398615,1
50,Female,50.9,15,12,1,Mobile App,13,2,1.07,Neutral,37.76,12.501472860152555,1
68,Male,57.49,29,11,1,Website,6,6,1.18,nan,1.11,30.0,1
59,Male,41.82,30,18,1,Mobile App,13,1,0.91,Favorable,15.03,25.02036221746642,1
61,Female,42.7,4,18,0,Website,12,9,0.91,Favorable,7.51,24.532235811130327,1
41,Male,39.94,31,19,0,Website,1,1,1.08,Unfavorable,6.87,26.189924565339954,1
32,Female,,15,1,0,Mobile App,8,1,1.17,Favorable,14.21,12.235287826593408,1
49,Female,-7.06,46,2,1,In-store,1,3,1.13,Neutral,38.23,6.629771863424744,1
49,Male,43.83,8,9,0,Mobile App,8,7,1.09,Favorable,48.49,1.0,1
41,Male,80.9,21,4,0,In-store,10,7,0.95,Favorable,25.97,8.25356777333305,1
58,Male,60.34,43,11,1,Mobile App,3,7,1.09,Favorable,17.28,21.61903960881571,1
69,Male,75.34,39,6,0,Mobile App,12,7,1.12,Neutral,41.54,1.0,1
66,Male,9.32,44,8,1,Website,9,6,1.1,Favorable,3.82,29.678393215401474,1
66,Male,25.16,36,1,0,In-store,10,5,1.07,Neutral,5.11,18.819284116902057,1
69,Male,,13,9,0,Mobile App,9,6,0.82,Favorable,17.6,15.48102864503534,1
29,Female,81.01,15,5,0,Mobile App,5,4,1.06,Neutral,22.7,9.95439158141033,1
56,Female,27.18,42,11,0,Website,0,7,0.99,Favorable,39.99,2.4256457265459637,1
19,Female,42.24,19,5,0,In-store,4,1,1.18,Neutral,46.3,1.0,1
20,Male,58.03,43,2,1,Mobile App,5,4,1.04,Unfavorable,26.8,12.732681395282006,1
66,Male,20.95,14,9,0,In-store,8,6,1.04,Favorable,25.03,11.841743511932595,1
54,Female,60.43,43,8,0,Website,13,8,1.2,Favorable,11.04,16.980021244660595,1
66,Male,-3.51,25,19,0,Website,8,9,0.84,Unfavorable,22.83,21.428022100750784,1
34,Male,59.84,8,4,1,Website,8,0,0.91,Favorable,46.22,6.082301159447644,1
66,Female,30.1,0,2,1,Mobile App,13,8,1.06,Favorable,19.95,15.149195166082924,1
19,Female,41.05,34,4,0,In-store,2,2,0.93,Favorable,10.93,17.704484227659304,1
19,Female,63.04,43,7,1,Website,12,0,0.94,Unfavorable,17.2,22.49296480075885,1
45,Male,58.95,19,7,1,Website,3,6,1.16,Unfavorable,25.97,16.210400138874824,1
40,Female,49.84,44,13,0,Website,7,2,1.03,nan,30.13,11.103043446571034,1
54,Female,69.38,5,16,0,Mobile App,7,7,0.84,Neutral,21.91,13.418464560383649,1
49,Female,16.0,41,10,0,Website,1,1,0.92,Unfavorable,38.05,5.8405850892216415,1
50,Female,54.09,9,15,0,In-store,7,3,0.83,Favorable,29.43,11.270568008995854,1
18,Female,34.2,47,5,0,Website,6,1,1.02,Favorable,33.42,4.601721812983744,1
36,Female,68.36,32,10,1,Mobile App,8,3,0.87,Favorable,43.21,7.754519595853022,1
19,Male,63.74,15,9,0,Mobile App,4,0,1.14,Favorable,43.35,2.3837914629132158,1
61,Female,64.47,35,8,0,Website,1,9,1.03,Neutral,10.57,17.961477955616388,1
43,Female,82.91,5,14,0,Mobile App,4,4,0.82,Favorable,31.36,8.651606018160594,1
49,Female,72.53,18,6,0,Mobile App,13,2,0.92,Neutral,35.97,1.5172938352002978,1
23,Male,46.85,30,17,1,Mobile App,1,8,1.05,Favorable,7.72,30.0,1
49,Male,49.97,1,0,1,Mobile App,12,3,0.93,Neutral,42.22,7.287791972243522,1
21,Female,62.02,17,14,0,Website,11,5,1.01,Neutral,9.43,22.493656171338593,1
28,Female,52.72,41,1,0,In-store,14,8,1.16,Neutral,40.06,1.0,1
34,Female,64.1,27,1,1,Mobile App,4,1,0.94,Unfavorable,8.49,23.23494402257207,1
55,Female,,3,9,1,Mobile App,14,6,0.93,Favorable,37.22,15.032087133440026,1
41,Female,87.62,0,19,0,Mobile App,12,2,1.13,Neutral,7.83,28.012009805138266,1
22,Female,51.22,46,14,0,Website,14,0,0.93,Neutral,19.25,20.066104650794696,1
69,Female,17.55,41,9,0,Website,8,8,0.83,Favorable,7.6,18.36437965623727,1
51,Female,31.72,49,18,1,In-store,6,8,0.87,Favorable,13.9,25.922295525005026,1
23,Female,7.41,15,12,0,In-store,6,3,1.18,Favorable,49.23,3.7990111734943492,1
39,Male,,44,10,0,Mobile App,0,8,1.17,Unfavorable,5.83,19.669931076209604,1
28,Male,47.16,46,1,0,Website,8,6,0.89,Neutral,20.62,9.082733878998534,1
65,Female,80.29,1,12,1,Mobile App,5,3,1.02,Neutral,34.01,14.373108341601608,1
33,Male,58.21,35,0,0,Mobile App,6,1,0.85,Favorable,5.18,18.486125629212715,1
50,Male,54.66,0,4,0,In-store,12,4,1.07,Unfavorable,5.9,18.499905458859214,1
26,Male,27.3,38,6,1,Website,11,7,0.87,Favorable,7.59,24.225604783680364,1
23,Male,33.51,22,12,1,Website,1,9,0.82,Neutral,32.43,15.115420111890344,1
33,Male,35.06,25,12,0,Website,0,9,1.13,Unfavorable,45.51,2.7909870797018406,1
46,Male,35.88,10,19,0,Website,10,5,0.93,Favorable,41.39,7.800274704369789,1
20,Female,42.97,41,5,0,In-store,12,4,0.84,Neutral,49.16,1.0,1
37,Female,44.48,0,19,0,Mobile App,3,3,1.13,Favorable,29.12,13.857413527961494,1
53,Male,,10,11,0,In-store,11,5,1.1,Favorable,48.09,3.2408563513158573,1
36,Male,36.57,23,7,1,Website,8,2,1.07,Neutral,15.59,21.316212706639707,1
43,Female,52.7,9,8,0,Mobile App,13,1,1.16,Favorable,21.36,13.173494747125892,1
20,Male,43.71,13,17,0,Mobile App,8,0,1.0,Favorable,20.1,17.9726800813211,1
36,Female,18.09,13,10,0,Website,13,8,0.85,Favorable,2.84,25.66619136270822,1
37,Female,50.69,6,19,1,Mobile App,10,0,0.82,Favorable,41.57,12.97944886512298,1
49,Female,47.66,22,10,1,Mobile App,2,3,0.93,Favorable,1.72,30.0,1
24,Male,18.41,42,14,0,In-store,0,5,0.83,Neutral,36.63,11.055211781094016,1
69,Female,38.17,21,8,1,Website,1,8,1.01,Favorable,20.65,19.659726179667608,1
58,Male,61.94,35,2,1,In-store,14,3,0.81,Unfavorable,0.81,22.369686595400843,1
50,Female,27.27,26,16,1,In-store,8,6,0.98,Neutral,14.85,24.727490416317124,1
57,Female,25.16,1,16,1,Mobile App,8,6,0.87,Favorable,17.63,22.476094511891503,1
56,Male,43.5,38,2,0,Mobile App,11,5,0.95,Unfavorable,48.25,1.0,1
35,Male,62.46,45,18,0,Website,0,8,1.07,Favorable,33.22,14.572874175356063,1
57,Male,86.21,18,8,1,Mobile App,8,9,0.94,Favorable,27.41,16.05201480348972,1
18,Female,63.18,6,16,0,Mobile App,0,6,0.94,Favorable,6.79,19.475496677541962,1
28,Male,71.7,11,17,0,Mobile App,9,2,1.2,Favorable,19.86,18.547573958354203,1
45,Female,56.93,2,14,0,Website,3,5,1.09,Unfavorable,2.27,24.538315410677566,1
42,Male,36.3,46,0,0,In-store,4,6,1.01,Favorable,38.2,2.753465444096353,1
67,Female,63.03,4,9,0,Mobile App,7,6,1.03,Unfavorable,8.56,18.898393139968007,1
40,Female,48.29,7,7,1,In-store,12,5,1.05,Neutral,29.92,14.173773762326704,1
48,Female,57.54,13,9,0,Mobile App,4,2,0.81,Favorable,35.12,7.551515944837545,1
47,Female,31.08,35,1,0,Mobile App,4,5,0.83,Unfavorable,18.64,9.538195242876197,1
59,Male,59.33,6,18,0,Mobile App,3,1,1.06,Unfavorable,31.81,11.080459972630493,1
52,Male,47.59,6,13,0,Mobile App,8,9,0.95,Unfavorable,38.33,11.389392124826152,1
24,Female,54.63,49,7,0,Website,12,0,0.82,Neutral,9.61,19.47869480934367,1
33,Male,48.3,45,18,0,Website,7,7,0.92,Favorable,30.24,13.980720045700881,1
43,Male,44.46,31,0,0,Mobile App,8,2,0.85,Favorable,36.83,4.004856085684851,1
65,Male,59.69,7,15,0,In-store,6,7,1.17,Neutral,18.17,21.929847483680454,1
69,Male,41.88,11,14,1,Mobile App,6,2,0.88,Favorable,8.54,30.0,1
66,Male,18.23,9,19,1,Website,4,1,0.86,Neutral,14.66,24.420502671350174,1
